id,Counts_1st,Counts_2nd,Counts_3rd,Counts_4th,Total_Counts,Uniprot_id_gene,Uniprot_entry,pldt_score
RVBD1308:atpA,6,5,9,3,23,RV1308,P9WPU7,92.06267547607422
RVBD0884c:serC,6,6,8,3,23,RV0884c,P9WQ73,97.34619903564453
RVBD1827:garA,8,5,8,2,23,RV1827,P9WJA9,68.0057373046875
RVBD3265c:wbbL1,6,4,8,5,23,RV3265c,P9WMY3,89.50133514404297
RVBD2193:ctaE,7,4,9,3,23,RV2193,P9WP67,90.75117492675781
RVBD0126:treS,7,5,8,3,23,RV0126,P9WQ19,92.6319580078125
RVBD2156c:murX,6,5,8,4,23,RV2156c,P9WMW7,93.2807846069336
RVBD3248c:sahH,6,6,8,3,23,RV3248c,P9WGV3,96.27792358398438
RVBD3764c:tcrY,7,6,7,3,23,RV3764c,O69729,87.19515991210938
RVBD2592c:ruvB,8,3,6,6,23,RV2592c,P9WGW1,90.16619110107422
RVBD3587c:RVBD3587c,6,4,8,4,22,RV3587c,O53572,81.45768737792969
RVBD3436c:glmS,8,4,7,3,22,RV3436c,P9WN49,93.13676452636719
RVBD2524c:fas,5,3,10,4,22,RV2524c,P95029,
RVBD2703:sigA,7,4,7,4,22,RV2703,P9WGI1,71.30770874023438
RVBD1310:atpD,6,4,8,4,22,RV1310,P9WPU5,88.49044799804688
RVBD3794:embA,6,2,8,6,22,RV3794,P9WNL9,94.96377563476562
RVBD3260c:whiB2,6,5,7,4,22,RV3260c,O53353,78.31214141845703
RVBD1007c:metS,6,6,8,2,22,RV1007c,P9WFU5,94.96214294433594
RVBD3909:RVBD3909,6,4,8,4,22,RV3909,O05436,86.57005310058594
RVBD3646c:topA,6,4,7,5,22,RV3646c,P9WG49,88.93400573730469
RVBD0337c:aspC,6,6,6,4,22,RV0337c,P9WQ91,93.94503784179688
RVBD2682c:dxs1,5,5,7,5,22,RV2682c,P9WNS3,91.12332153320312
RVBD1483:fabG1,7,5,7,3,22,RV1483,P9WGT3,95.67967224121094
RVBD1479:moxR1,7,5,7,3,22,RV1479,Q79FN7,85.66676330566406
RVBD0824c:desA1,6,5,7,3,21,RV0824c,P9WNZ7,94.01606750488281
RVBD2147c:RVBD2147c,8,2,8,3,21,RV2147c,P9WGJ5,67.58692169189453
RVBD3101c:ftsX,6,6,6,3,21,RV3101c,P9WG19,88.06404113769531
RVBD2673:aftC,6,4,7,4,21,RV2673,P9WMZ7,91.99151611328125
RVBD3277:RVBD3277,6,4,7,4,21,RV3277,P96882,55.06315994262695
RVBD1224:tatB,5,4,8,4,21,RV1224,P9WG99,73.74862670898438
RVBD2461c:clpP1,7,5,7,2,21,RV2461c,P9WPC5,90.57051086425781
RVBD3800c:pks13,6,5,7,3,21,RV3800c,I6X8D2,83.3399429321289
RVBD3257c:pmmA,6,4,8,3,21,RV3257c,O86374,95.99769592285156
RVBD3918c:parA,7,3,7,4,21,RV3918c,Q1LVD4,83.2435531616211
RVBD1094:desA2,7,3,6,5,21,RV1094,P9WNZ5,97.04996490478516
RVBD2890c:rpsB,6,6,5,4,21,RV2890c,P9WH39,84.37818145751953
RVBD2572c:aspS,4,6,7,4,21,RV2572c,P9WFW3,94.1961441040039
RVBD1611:trpC,5,4,8,4,21,RV1611,P9WFX7,94.99764251708984
RVBD1166:lpqW,6,4,8,3,21,RV1166,P9WGU7,87.33946228027344
RVBD0701:rplC,5,7,5,4,21,RV0701,P9WH87,93.86346435546875
RVBD1304:atpB,6,6,6,3,21,RV1304,P9WPV7,55.05112075805664
RVBD6019:23S,5,5,7,4,21,RV6019,,
RVBD2198c:mmpS3,7,3,8,3,21,RV2198c,P9WJT1,68.18618774414062
RVBD1463:RVBD1463,7,5,6,3,21,RV1463,O53154,92.3786392211914
RVBD0225:RVBD0225,7,4,7,3,21,RV0225,P96407,95.12588500976562
RVBD2748c:ftsK,7,5,5,4,21,RV2748c,P9WNA3,79.06261444091797
RVBD3355c:RVBD3355c,7,4,7,3,21,RV3355c,O50384,93.05660247802734
RVBD3336c:trpS,5,7,6,3,21,RV3336c,P9WFT3,93.91949462890625
RVBD2174:mptA,6,5,7,3,21,RV2174,O53508,93.29759979248047
RVBD2981c:ddlA,8,4,7,2,21,RV2981c,P9WP31,90.94963073730469
RVBD0810c:RVBD0810c,6,4,7,3,20,RV0810c,I6XWB9,76.59516906738281
RVBD2457c:clpX,7,5,5,3,20,RV2457c,P9WPB9,80.14413452148438
RVBD1423:whiA,6,3,7,4,20,RV1423,P9WF45,94.33216857910156
RVBD3913:trxB2,6,2,9,3,20,RV3913,P9WHH1,91.9044418334961
RVBD3462c:infA,8,5,5,2,20,RV3462c,P9WKK3,84.83712768554688
RVBD1451:ctaB,6,3,8,3,20,RV1451,P9WFR7,89.75963592529297
RVBD0204c:RVBD0204c,6,5,7,2,20,RV0204c,I6Y748,71.71546173095703
RVBD3709c:ask,5,5,6,4,20,RV3709c,P9WPX3,93.79679107666016
RVBD2612c:pgsA1,6,3,8,3,20,RV2612c,P9WPG7,92.73055267333984
RVBD0440:groEL2,6,3,8,3,20,RV0440,P9WPE7,91.64195251464844
RVBD1389:gmk,5,5,7,3,20,RV1389,P9WKE9,88.89404296875
RVBD6043:tRNA-Ser41,7,3,5,5,20,RV6043,,
RVBD0236A:RVBD0236A,6,4,7,3,20,RV0236A,P9WLB1,83.08368682861328
RVBD1636:TB15.3,6,4,7,3,20,RV1636,P9WFC9,88.88218688964844
RVBD3244c:lpqB,6,3,8,3,20,RV3244c,P9WK37,91.53132629394531
RVBD1642:rpmI,5,4,8,3,20,RV1642,P9WH91,92.71234130859375
RVBD3782:glfT1,5,4,7,4,20,RV3782,P9WMX3,92.17628479003906
RVBD1683:RVBD1683,7,4,6,3,20,RV1683,O33185,84.09624481201172
RVBD0338c:RVBD0338c,6,2,8,4,20,RV0338c,O33268,82.56487274169922
RVBD3799c:accD4,7,3,7,3,20,RV3799c,O53578,95.24937438964844
RVBD3834c:serS,6,4,7,3,20,RV3834c,P9WFT7,95.84426879882812
RVBD1381:pyrC,6,5,7,2,20,RV1381,P9WHL3,97.34146881103516
RVBD2916c:ffh,6,4,7,3,20,RV2916c,P9WGD7,75.83184814453125
RVBD1297:rho,7,3,5,5,20,RV1297,P9WHF3,76.9057846069336
RVBD2555c:alaS,6,5,6,3,20,RV2555c,P9WFW7,89.84540557861328
RVBD2229c:RVBD2229c,9,2,6,3,20,RV2229c,P9WLH3,93.49420928955078
RVBD3302c:glpD2,5,4,7,4,20,RV3302c,P9WN79,92.63653564453125
RVBD0384c:clpB,6,5,5,4,20,RV0384c,P9WPD1,88.08903503417969
RVBD1326c:glgB,5,5,6,4,20,RV1326c,P9WN45,95.60752868652344
RVBD1309:atpG,6,3,8,3,20,RV1309,P9WPU9,90.04157257080078
RVBD1306:atpF,6,4,7,3,20,RV1306,P9WPV5,86.60993957519531
RVBD1476:RVBD1476,7,3,6,3,19,RV1476,O53167,87.67650604248047
RVBD0703:rplW,6,4,6,3,19,RV0703,P9WHB9,91.92660522460938
RVBD3598c:lysS,5,5,7,2,19,RV3598c,P9WFU9,93.9749526977539
RVBD3793:embC,6,4,6,3,19,RV3793,P9WNL5,90.33694458007812
RVBD2357c:glyS,7,4,6,2,19,RV2357c,P9WFV7,93.22085571289062
RVBD0808:purF,5,2,8,4,19,RV0808,P9WHQ7,85.76825714111328
RVBD6007:tRNA-Trp8,7,4,6,2,19,RV6007,,
RVBD0364:RVBD0364,4,5,7,3,19,RV0364,P9WP09,79.80210876464844
RVBD6004:tRNA-Tyr5,7,4,6,2,19,RV6004,,
RVBD2921c:ftsY,6,4,6,3,19,RV2921c,P9WGD9,78.96665954589844
RVBD2243:fabD,5,3,7,4,19,RV2243,P9WNG5,97.27754974365234
RVBD3908:mutT4,6,3,7,3,19,RV3908,P9WIX7,79.64556884765625
RVBD3795:embB,6,3,6,4,19,RV3795,P9WNL7,92.6974868774414
RVBD2581c:RVBD2581c,4,5,7,3,19,RV2581c,P9WMW3,93.69371032714844
RVBD6023:tRNA-Pro21,5,5,6,3,19,RV6023,,
RVBD3280:accD5,5,3,8,3,19,RV3280,P9WQH7,95.30135345458984
RVBD3396c:guaA,6,3,8,2,19,RV3396c,P9WMS7,87.84950256347656
RVBD0526:RVBD0526,6,3,7,3,19,RV0526,O06392,86.60440063476562
RVBD3806c:ubiA,5,3,8,3,19,RV3806c,P9WFR5,90.78128814697266
RVBD0357c:purA,6,3,7,3,19,RV0357c,P9WHN3,93.60610961914062
RVBD1159:pimE,6,4,6,3,19,RV1159,P9WN01,88.94830322265625
RVBD2845c:proS,6,3,7,3,19,RV2845c,P9WFT9,95.26314544677734
RVBD1481:RVBD1481,6,3,7,3,19,RV1481,P9WFJ7,84.97058868408203
RVBD1390:rpoZ,6,5,6,2,19,RV1390,P9WGY5,82.95389556884766
RVBD0060:RVBD0060,7,3,5,4,19,RV0060,O53605,91.82091522216797
RVBD1110:lytB2,6,3,7,3,19,RV1110,P9WKG1,93.241455078125
RVBD2110c:prcB,6,2,8,3,19,RV2110c,P9WHT9,88.86296081542969
RVBD0876c:RVBD0876c,8,4,6,1,19,RV0876c,P9WKR5,69.58645629882812
RVBD0685:tuf,6,4,6,3,19,RV0685,P9WNN1,92.80997467041016
RVBD0652:rplL,6,5,4,4,19,RV0652,P9WHE3,75.86776733398438
RVBD1617:pykA,6,4,6,3,19,RV1617,P9WKE5,95.21319580078125
RVBD2109c:prcA,6,4,6,3,19,RV2109c,P9WHU1,90.3600845336914
RVBD0635:hadA,6,5,5,3,19,RV0635,P9WFK1,95.04285430908203
RVBD2610c:pimA,6,3,7,3,19,RV2610c,P9WMZ5,89.7151870727539
RVBD2580c:hisS,6,4,6,3,19,RV2580c,P9WFV5,94.51896667480469
RVBD3804c:fbpA,7,5,5,2,19,RV3804c,P9WQP3,89.94824981689453
RVBD1594:nadA,5,2,8,4,19,RV1594,P9WJK1,93.76455688476562
RVBD2157c:murF,7,5,4,3,19,RV2157c,P9WJL1,92.54534912109375
RVBD1484:inhA,6,3,6,4,19,RV1484,P9WGR1,94.0
RVBD3258c:RVBD3258c,5,3,8,3,19,RV3258c,O53351,72.54901885986328
RVBD0956:purN,4,4,8,3,19,RV0956,P9WHM5,95.50032806396484
RVBD1415:ribA2,7,3,7,2,19,RV1415,P9WHF1,89.57064056396484
RVBD3624c:hpt,5,4,8,2,19,RV3624c,P9WHQ9,89.19059753417969
RVBD3805c:aftB,6,3,5,5,19,RV3805c,O53582,91.0828857421875
RVBD2614c:thrS,5,4,6,3,18,RV2614c,P9WFT5,91.7206802368164
RVBD2244:acpM,7,2,6,3,18,RV2244,P9WQF3,73.60260772705078
RVBD6017:tRNA-Arg18,5,5,6,2,18,RV6017,,
RVBD3604c:RVBD3604c,6,2,7,3,18,RV3604c,O06278,63.04174041748047
RVBD3790:dprE1,6,2,7,3,18,RV3790,P9WJF1,94.78369140625
RVBD2166c:RVBD2166c,5,5,6,2,18,RV2166c,P9WJN9,95.67552185058594
RVBD6013:tRNA-Arg14,6,4,5,3,18,RV6013,,
RVBD3669:RVBD3669,4,4,7,3,18,RV3669,O69637,77.67173767089844
RVBD3044:fecB,6,3,6,3,18,RV3044,O53291,90.83917236328125
RVBD2152c:murC,5,4,6,3,18,RV2152c,P9WJL7,92.01657104492188
RVBD3915:RVBD3915,6,3,5,4,18,RV3915,L7N653,89.58526611328125
RVBD1307:atpH,6,3,7,2,18,RV1307,P9WPV3,91.08497619628906
RVBD3053c:nrdH,7,5,3,3,18,RV3053c,I6YB06,93.54379272460938
RVBD1684:RVBD1684,6,3,6,3,18,RV1684,O33186,86.55377960205078
RVBD2678c:hemE,6,5,5,2,18,RV2678c,P9WFE1,96.76214599609375
RVBD2611c:RVBD2611c,6,3,7,2,18,RV2611c,P9WMB5,87.67794799804688
RVBD1303:RVBD1303,4,5,7,2,18,RV1303,P9WM31,56.38956832885742
RVBD1382:RVBD1382,4,5,6,3,18,RV1382,P71810,91.89485168457031
RVBD0636:hadB,5,4,6,3,18,RV0636,I6WYY7,97.9247055053711
RVBD1380:pyrB,5,3,7,3,18,RV1380,P9WIT7,92.29739379882812
RVBD3917c:parB,6,3,6,3,18,RV3917c,P9WIJ9,75.08700561523438
RVBD0883c:RVBD0883c,6,4,5,3,18,RV0883c,P9WKQ7,82.23217010498047
RVBD2256c:RVBD2256c,5,3,7,3,18,RV2256c,O53530,89.0775146484375
RVBD2245:kasA,5,4,6,3,18,RV2245,P9WQD9,98.49187469482422
RVBD1338:murI,5,4,7,2,18,RV1338,P9WPW9,95.0136947631836
RVBD3580c:cysS1,5,4,6,3,18,RV3580c,P9WFW1,91.97972869873047
RVBD2971:RVBD2971,6,3,6,3,18,RV2971,P9WQA5,96.22371673583984
RVBD2228c:RVBD2228c,7,4,5,2,18,RV2228c,P9WLH5,91.96714782714844
RVBD3029c:fixA,6,3,7,2,18,RV3029c,P9WNG7,95.73352813720703
RVBD2786c:ribF,6,3,6,3,18,RV2786c,I6X5C9,91.90570831298828
RVBD2445c:ndkA,6,3,5,4,18,RV2445c,P9WJH7,97.4306640625
RVBD1406:fmt,7,2,6,3,18,RV1406,P9WND3,95.87234497070312
RVBD3721c:dnaZX,6,4,6,2,18,RV3721c,P9WNT9,82.17963409423828
RVBD3040c:RVBD3040c,6,3,6,3,18,RV3040c,O53287,90.05732727050781
RVBD2754c:thyX,7,3,5,3,18,RV2754c,P9WG57,95.58699798583984
RVBD3030:RVBD3030,5,4,6,3,18,RV3030,P9WJZ1,89.66693878173828
RVBD2539c:aroK,4,3,6,4,17,RV2539c,P9WPY3,91.75273132324219
RVBD0351:grpE,6,2,5,4,17,RV0351,P9WMT5,79.02961730957031
RVBD3581c:ispF,5,4,5,3,17,RV3581c,P9WKG5,96.24188995361328
RVBD3410c:guaB3,5,2,7,3,17,RV3410c,P9WKI5,94.960205078125
RVBD3708c:asd,5,3,6,3,17,RV3708c,P9WNX5,97.02243041992188
RVBD3676:crp,5,4,6,2,17,RV3676,P9WMH3,94.89302825927734
RVBD2246:kasB,5,3,6,3,17,RV2246,P9WQD7,97.5069580078125
RVBD2992c:gltS,4,4,6,3,17,RV2992c,P9WFV9,95.37345123291016
RVBD1208:gpgS,5,3,7,2,17,RV1208,P9WMW9,90.58157348632812
RVBD2518c:ldtB,6,3,6,2,17,RV2518c,I6Y9J2,91.45507049560547
RVBD1024:RVBD1024,5,3,6,3,17,RV1024,P96376,68.61890411376953
RVBD1822:pgsA2,7,2,7,1,17,RV1822,P9WPG5,84.16632080078125
RVBD1086:RVBD1086,6,3,6,2,17,RV1086,P9WFF5,92.33045959472656
RVBD1462:RVBD1462,5,2,6,4,17,RV1462,P9WFP5,93.3070297241211
RVBD1379:pyrR,4,4,7,2,17,RV1379,P9WHK3,92.36927032470703
RVBD2540c:aroF,6,3,5,3,17,RV2540c,P9WPY1,95.06243896484375
RVBD1440:secG,5,2,7,3,17,RV1440,P9WGN5,64.01844024658203
RVBD2523c:acpS,6,4,7,0,17,RV2523c,P9WQD3,87.775390625
RVBD3411c:guaB2,5,2,7,3,17,RV3411c,P9WKI7,89.29405975341797
RVBD3303c:lpdA,4,4,6,3,17,RV3303c,P9WHH7,93.032958984375
RVBD0772:purD,6,2,7,2,17,RV0772,P9WHM9,96.36894989013672
RVBD1229c:mrp,6,2,8,1,17,RV1229c,P9WJN7,87.89097595214844
RVBD1613:trpA,5,3,6,3,17,RV1613,P9WFY1,92.86014556884766
RVBD0004:RVBD0004,5,3,7,2,17,RV0004,P9WFL1,76.82122802734375
RVBD0949:uvrD1,5,5,6,1,17,RV0949,P9WMQ1,86.9735336303711
RVBD0016c:pbpA,6,2,7,2,17,RV0016c,P9WKD1,94.5440902709961
RVBD6040:tRNA-Met38,5,4,6,2,17,RV6040,,
RVBD0020c:fhaA,5,3,6,3,17,RV0020c,P71590,60.45213317871094
RVBD2094c:tatA,4,3,8,2,17,RV2094c,P9WGA1,76.03639221191406
RVBD3372:otsB2,5,2,8,2,17,RV3372,P9WFZ5,92.75811004638672
RVBD2837c:RVBD2837c,6,4,5,2,17,RV2837c,P71615,92.86544036865234
RVBD3227:aroA,5,3,7,2,17,RV3227,P9WPY5,93.6112289428711
RVBD2440c:obg,6,3,6,2,17,RV2440c,P9WMT1,78.9259033203125
RVBD3458c:rpsD,4,6,5,2,17,RV3458c,P9WH35,92.12919616699219
RVBD0707:rpsC,6,4,4,3,17,RV0707,P9WH37,81.78781127929688
RVBD2121c:hisG,5,2,7,3,17,RV2121c,P9WMN1,95.24736022949219
RVBD6038:tRNA-Gln36,6,2,7,2,17,RV6038,,
RVBD0710:rpsQ,6,3,5,3,17,RV0710,P9WH51,80.49266815185547
RVBD0684:fusA1,5,3,6,3,17,RV0684,P9WNM7,85.19548797607422
RVBD1408:rpe,6,3,5,3,17,RV1408,P9WI51,96.2762451171875
RVBD3792:aftA,7,2,5,3,17,RV3792,P9WN03,93.84220886230469
RVBD3807c:RVBD3807c,5,2,6,4,17,RV3807c,P9WI53,94.31163787841797
RVBD3035:RVBD3035,6,2,6,3,17,RV3035,I6XFZ8,95.16927337646484
RVBD0236c:aftD,6,2,6,3,17,RV0236c,P96419,93.27384185791016
RVBD0777:purB,4,4,6,3,17,RV0777,I6XWA1,95.1442642211914
RVBD0993:galU,6,2,6,3,17,RV0993,O05576,93.9951400756836
RVBD2439c:proB,6,2,7,2,17,RV2439c,P9WHU9,89.55545806884766
RVBD0721:rpsE,5,5,4,3,17,RV0721,P9WH33,85.40827178955078
RVBD0282:eccA3,6,2,5,4,17,RV0282,P9WPI3,89.23902893066406
RVBD0286:PPE4,6,2,6,3,17,RV0286,P9WI43,67.1328125
RVBD0350:dnaK,6,2,7,2,17,RV0350,P9WMJ9,87.69035339355469
RVBD3921c:RVBD3921c,7,3,6,1,17,RV3921c,P9WIT5,81.83169555664062
RVBD2421c:nadD,4,4,7,2,17,RV2421c,P9WJJ5,84.823974609375
RVBD0705:rpsS,5,3,5,3,16,RV0705,P9WH45,88.0079574584961
RVBD1609:trpE,6,2,5,3,16,RV1609,P9WFX3,94.84288787841797
RVBD3221c:TB7.3,6,3,5,2,16,RV3221c,P9WPQ1,95.87338256835938
RVBD6042:tRNA-Pro40,5,4,5,2,16,RV6042,,
RVBD3193c:RVBD3193c,6,3,4,3,16,RV3193c,P9WFL3,89.46382904052734
RVBD2538c:aroB,5,2,7,2,16,RV2538c,P9WPX9,94.36861419677734
RVBD3814c:RVBD3814c,5,5,4,2,16,RV3814c,O07809,89.17977905273438
RVBD1539:lspA,6,4,4,2,16,RV1539,P9WK99,84.03856658935547
RVBD2111c:pup,6,2,6,2,16,RV2111c,P9WHN5,81.48875427246094
RVBD3608c:folP1,5,3,5,3,16,RV3608c,P9WND1,90.53146362304688
RVBD1327c:glgE,6,2,6,2,16,RV1327c,P9WQ17,94.27061462402344
RVBD3256c:RVBD3256c,5,3,6,2,16,RV3256c,O05899,91.58595275878906
RVBD2881c:cdsA,6,2,5,3,16,RV2881c,P9WPF7,81.4462890625
RVBD2553c:RVBD2553c,6,2,6,2,16,RV2553c,I6XEK6,87.30776977539062
RVBD3791:dprE2,6,3,5,2,16,RV3791,P9WGS9,95.2834243774414
RVBD2155c:murD,5,2,6,3,16,RV2155c,P9WJL5,91.29251861572266
RVBD2548A:RVBD2548A,4,4,6,2,16,RV2548A,I6XEK2,96.68257141113281
RVBD1248c:RVBD1248c,6,3,6,1,16,RV1248c,P9WIS5,89.89360809326172
RVBD0207c:RVBD0207c,6,3,5,2,16,RV0207c,P96389,83.49610900878906
RVBD1650:pheT,4,2,7,3,16,RV1650,P9WFU1,93.85919952392578
RVBD6024:tRNA-Leu22,6,3,4,3,16,RV6024,,
RVBD3275c:purE,5,3,6,2,16,RV3275c,P9WHM1,96.41239929199219
RVBD0957:purH,5,3,6,2,16,RV0957,P9WHM7,96.20999908447266
RVBD0283:eccB3,6,2,5,3,16,RV0283,P9WNR3,85.44317626953125
RVBD3276c:purK,6,3,5,2,16,RV3276c,P9WHL9,91.65120697021484
RVBD0003:recF,7,2,5,2,16,RV0003,P9WHI9,93.29007720947266
RVBD2613c:RVBD2613c,5,2,7,2,16,RV2613c,P9WMK9,80.4026107788086
RVBD3418c:groES,5,3,6,2,16,RV3418c,P9WPE5,91.63619232177734
RVBD2795c:RVBD2795c,6,2,6,2,16,RV2795c,I6YEE1,93.90709686279297
RVBD2207:cobT,4,3,7,2,16,RV2207,P9WP85,94.86847686767578
RVBD0041:leuS,5,3,5,3,16,RV0041,P9WFV1,91.03549194335938
RVBD1017c:prsA,5,4,5,2,16,RV1017c,P9WKE3,92.64070892333984
RVBD3034c:RVBD3034c,5,3,5,3,16,RV3034c,O53281,84.10836791992188
RVBD2247:accD6,5,2,6,3,16,RV2247,P9WQH5,94.89765930175781
RVBD1292:argS,5,4,5,2,16,RV1292,P9WFW5,94.84158325195312
RVBD6002:tRNA-Leu3,5,3,6,2,16,RV6002,,
RVBD2122c:hisE,3,4,7,2,16,RV2122c,P9WMM9,95.39021301269531
RVBD6009:tRNA-Lys10,5,4,3,4,16,RV6009,,
RVBD0057:RVBD0057,7,3,5,1,16,RV0057,P9WM77,33.60121154785156
RVBD6037:tRNA-Glu35,5,3,6,2,16,RV6037,,
RVBD2169c:RVBD2169c,6,3,5,2,16,RV2169c,O53503,64.74380493164062
RVBD2996c:serA1,5,3,5,3,16,RV2996c,P9WNX3,94.95630645751953
RVBD2448c:valS,5,3,5,3,16,RV2448c,P9WFS9,93.02667236328125
RVBD3301c:phoY1,5,4,5,2,16,RV3301c,P9WI97,94.14995574951172
